BATT_SW	21.59	3.89	0.00	JS102011SAQN	SW_JS102011SAQN
C1	39.88	9.02	90.00	100nf	CAPC1608X87N
C13	37.47	20.32	0.00	100nf	CAPC1608X87N
C14	51.05	46.74	180.00	1uF	0603
C15	56.64	46.74	180.00	100nf	CAPC1608X87N
C16	16.26	5.46	0.00	2.2uf	CAPC2012X140N
C17	5.59	20.32	90.00	680uf	EEHZS1H221P
C18	13.97	45.47	270.00	100nf	CAPC1608X87N
C19	8.13	42.04	90.00	100nf	CAPC1608X87N
C2	41.02	9.02	90.00	1uf	CAPC1608X87N
C20	36.96	25.15	270.00	1uf	CAPC1608X87N
C21	38.10	25.15	270.00	10nf	CAPC1608X87N
C23	20.57	31.50	180.00	100nf	CAPC1608X87N
C24	35.31	41.78	270.00	100nf	CAPC1608X87N
C25	32.77	42.04	90.00	100nf	CAPC1608X87N
C4	54.10	46.74	180.00	10nf	CAPC1608X87N
C5	8.38	35.43	270.00	100nf	CAPC1608X87N
C6	15.24	45.47	90.00	100nf	CAPC1608X87N
C7	42.29	9.02	90.00	10nf	CAPC1608X87N
C8	36.83	10.03	270.00	100nf	CAPC1608X87N
CHRG	26.92	42.67	90.00	Green	LEDC2012X80N
D1	20.57	34.29	180.00	1N5819HW-7	SOD3715X145N
D8	39.37	17.27	0.00	B340A-13-F	DIOM5226X240N
ESP32	46.42	36.20	270.00	ESP32-WROOM-32D	MODULE_ESP32-WROOM-32D
F1	10.92	44.83	0.00	0ZCJ0010FF2E	FUSC3216X75N
F2	9.44	14.92	45.00	0ZCJ0010FF2E	FUSC3216X75N
IC1	16.76	14.72	270.00	LM2596SX-5.0_NOPB	KTT0005B
IC2	39.62	13.97	0.00	M3406-ADJ	SOT95P280X100-5N
IC3	13.46	39.37	180.00	FT231XS-R	SOP64P599X175-20N
IC5	40.64	21.08	90.00	M3406-ADJ	SOT95P280X100-5N
IC6	34.42	37.97	0.00	DW01A	SOT23-6
L1	29.08	18.80	0.00	33uh 12x12	WE-PD_1260/1245/1280/121054
L2	40.39	23.88	180.00	MLF2012A2R2KT000	INDC2012X105N
L3	39.37	11.43	0.00	MLF2012A2R2KT000	INDC2012X105N
LED	19.94	36.83	0.00	Green	LEDC2012X80N
Q4	27.81	32.51	0.00	FS8205A	SOP65P640X120-8N
Q6	24.51	28.58	0.00	MMBT3904-TP	SI2305TP
Q7	28.96	28.58	0.00	MMBT3904-TP	SI2305TP
R1	29.21	11.30	0.00	10k	RESC1608X55N
R11	24.51	26.16	0.00	10k	RESC1608X55N
R12	29.08	26.04	180.00	10k	RESC1608X55N
R13	22.61	36.96	180.00	330	ERJH3
R14	22.61	41.15	180.00	330	ERJH3
R15	22.61	38.73	180.00	330	ERJH3
R16	34.04	41.81	90.00	100	RESC1608X55N
R17	34.04	34.42	90.00	1k	RESC1608X55N
R18	36.83	22.61	90.00	40k2	RESC1608X55N
R2	29.21	9.91	0.00	10k	RESC1608X55N
R3	25.27	42.55	90.00	1k	RESC1608X55N
R4	30.61	42.55	90.00	1k	RESC1608X55N
R5	22.61	42.80	180.00	1.2k	RESC1608X55N
R51	59.44	46.74	180.00	10k	RESC1608X55N
R6	38.10	22.48	90.00	10k	RESC1608X55N
R7	42.29	14.35	90.00	10k	RESC1608X55N
R8	42.29	11.56	270.00	40k2	RESC1608X55N
R9	17.02	43.18	0.00	10k	RESC1608X55N
RESET	6.48	49.53	90.00	FSM2JSMAATR	FSM2J_1
RX	19.94	38.99	0.00	Green	LEDC2012X80N
SHT21	18.41	46.61	180.00	SHT21	XDCR_SHT21
STBY	29.21	42.67	90.00	Green	LEDC2012X80N
TX	19.94	41.27	0.00	Green	LEDC2012X80N
U$1	51.43	15.76	90.00	HOPERF_RFM95W	HOPERF_RFM95W
U3	28.58	37.34	0.00	TP4056	SOP127P600X175-9N
U6	33.66	28.58	0.00	SI2301BDS-T1-E3	SOT95P237X112-3N
USB	6.40	39.75	270.00	TYPE-C-31-M-12	HRO_TYPE-C-31-M-12
X2	64.62	16.64	180.00	SMA-142-0701-801/806	J502-ND-142-0701-801/806
